ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
278,Left,1092.4,1205.1,0.11,59.61,4
279,Right,1402.7,1539.7,0.09,59.58,4
280,Left,538.3,708.2,0.00,59.50,4
281,Right,1519.8,1560.2,0.00,59.45,4
282,Right,1554.4,1632.0,0.01,59.41,4
283,Right,1800.5,1873.4,0.00,59.39,4
284,Left,1517.6,1573.6,0.00,59.37,4
285,Left,1629.7,1679.1,0.00,59.36,4
286,Left,1166.2,1298.8,0.00,59.33,4
287,Right,1082.9,1176.2,0.00,59.33,4
288,Right,1883.7,2096.5,0.00,59.23,4
289,Left,1436.4,1607.7,0.06,59.22,4
290,Right,1476.9,1495.2,0.16,59.22,4
291,Right,1868.8,2092.3,0.00,59.21,4
292,Right,1777.3,1876.2,0.00,59.17,4
293,Right,1185.3,1267.0,0.00,59.16,4
294,Left,1583.7,1614.1,0.00,59.14,4
295,Right,1472.8,1579.3,0.00,59.11,4
296,Right,1187.5,1508.4,0.00,59.10,4
297,Right,1308.4,1465.3,0.00,59.05,4
298,Right,1419.7,1529.9,0.08,59.04,4
299,Right,962.2,1040.7,0.00,59.00,4
300,Right,1488.8,1550.7,0.00,58.98,4
301,Left,1022.0,1037.8,0.17,58.97,4
302,Left,1243.7,1331.2,0.00,58.97,4
303,Right,1681.3,1692.2,0.00,58.95,4
304,Right,1844.4,1969.6,0.00,58.90,4
305,Right,768.2,886.9,0.00,58.88,4
306,Left,1522.2,1634.1,0.00,58.84,4
307,Left,1439.7,1450.3,0.00,58.82,4
308,Right,1517.8,1723.9,0.00,58.82,4
309,Left,1513.1,1736.6,0.05,58.82,4
310,Left,1297.5,1476.9,0.00,58.81,4
311,Right,1241.6,1609.2,0.00,59.99,5
312,Right,1443.3,1527.2,0.00,59.75,5
313,Right,1696.6,1708.5,0.00,59.65,5
314,Right,1037.8,1062.5,0.00,59.64,5
315,Left,1705.9,1722.4,0.00,59.57,5
316,Right,1846.1,2056.0,0.00,59.55,5
317,Right,1048.4,1189.1,0.00,59.50,5
318,Right,1735.1,1818.3,0.09,59.36,5
319,Left,1005.3,1032.2,0.00,59.36,5
320,Right,1220.0,1254.1,0.13,59.35,5
321,Right,1079.6,1148.3,0.00,59.25,5
322,Left,1741.2,1874.5,0.00,59.18,5
323,Right,1488.5,1552.6,0.00,59.17,5
324,Left,1216.3,1247.5,0.17,59.15,5
325,Right,1118.3,1170.5,0.00,59.12,5
326,Left,850.0,927.2,0.00,59.05,5
327,Left,1560.4,1594.2,0.00,59.04,5
328,Right,1665.5,1669.1,0.00,58.99,5
329,Left,1265.0,1349.5,0.01,58.98,5
330,Left,1672.4,1686.0,0.13,58.97,5
331,Right,1513.4,1538.8,0.00,58.96,5
332,Right,1135.5,1198.2,0.00,58.96,5
333,Right,1779.0,1950.2,0.04,58.95,5
334,Right,779.3,834.2,0.00,58.90,5
335,Left,1551.9,1793.4,0.00,58.89,5
336,Right,1880.7,1931.1,0.00,58.83,5
337,Left,1165.0,1374.3,0.00,60.01,6
338,Right,1040.4,1446.8,0.16,59.73,6
339,Left,1706.2,1843.3,0.00,59.57,6
340,Left,1650.4,1718.8,0.00,59.47,6
341,Right,1499.1,1732.1,0.01,59.44,6
342,Left,1228.2,1511.1,0.00,59.30,6
343,Left,1121.8,1257.9,0.00,59.29,6
