ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
241,Right,2409.2,2442.1,0.00,59.93,5
242,Left,2287.2,2348.6,0.00,59.87,5
243,Left,2682.7,2810.3,0.00,59.76,5
244,Right,989.0,1030.4,0.00,59.69,5
245,Left,1705.2,1730.0,0.00,59.66,5
246,Left,1620.6,1651.0,0.03,59.64,5
247,Left,2625.3,2702.1,0.01,59.59,5
248,Right,933.5,1050.9,0.06,59.57,5
249,Left,1815.3,1859.1,0.00,59.44,5
250,Right,1643.6,1676.5,0.00,59.41,5
251,Left,1516.4,1862.8,0.04,59.38,5
252,Right,1067.5,1119.3,0.01,59.36,5
253,Right,1471.6,1514.5,0.00,59.33,5
254,Right,1442.4,1514.9,0.00,59.20,5
255,Right,1595.4,1668.3,0.00,59.18,5
256,Left,1848.7,1911.3,0.02,59.16,5
257,Left,2245.6,2378.2,0.00,59.11,5
258,Right,906.3,974.1,0.01,59.03,5
259,Right,1300.8,1576.0,0.00,59.00,5
260,Left,1867.7,1923.7,0.00,59.00,5
261,Right,1384.6,1463.9,0.05,58.96,5
262,Right,1487.8,1698.4,0.00,58.94,5
263,Right,1109.3,1170.5,0.00,58.90,5
264,Left,2554.4,2589.3,0.00,60.73,6
265,Right,2399.6,2444.5,0.00,60.60,6
266,Right,2404.9,2451.7,0.00,60.52,6
267,Right,2609.0,2665.6,0.00,60.35,6
268,Left,2358.1,2444.2,0.00,60.27,6
269,Left,2450.7,2531.5,0.00,60.17,6
270,Left,2620.8,2706.9,0.00,59.98,6
271,Left,2589.1,2734.1,0.00,59.93,6
272,Right,1452.7,1508.3,0.00,59.83,6
273,Left,2053.2,2102.2,0.14,59.79,6
274,Right,1559.7,1586.1,0.00,59.69,6
275,Right,2756.5,2777.4,0.00,59.63,6
276,Left,2111.9,2246.6,0.00,59.62,6
277,Right,2213.3,2288.5,0.01,59.56,6
278,Left,1258.2,1286.8,0.09,59.38,6
279,Right,2599.1,2606.6,0.00,59.37,6
280,Left,2337.5,2450.1,0.00,59.29,6
281,Right,1846.3,1969.6,0.00,59.26,6
282,Left,1394.8,1466.0,0.00,59.24,6
283,Right,1927.9,1981.4,0.00,59.24,6
284,Left,2485.3,2588.5,0.00,59.22,6
285,Right,1184.7,1278.4,0.00,59.22,6
286,Right,1073.2,1138.1,0.00,59.22,6
287,Right,1762.0,1800.1,0.00,59.14,6
288,Right,2152.7,2184.4,0.00,59.06,6
289,Left,1446.2,1483.3,0.01,59.06,6
290,Right,1174.3,1204.4,0.00,59.03,6
291,Left,1111.0,1262.9,0.01,59.01,6
292,Left,2547.1,2642.1,0.01,59.00,6
293,Left,853.6,905.7,0.01,58.91,6
294,Left,2527.7,2639.2,0.00,60.66,7
295,Left,2713.4,2727.2,0.02,60.44,7
296,Left,2400.7,2446.8,0.00,60.06,7
297,Right,2020.6,2098.3,0.00,60.05,7
298,Right,2646.9,2663.1,0.00,60.01,7
299,Left,2405.7,2494.7,0.00,59.94,7
300,Right,2427.5,2520.6,0.00,59.84,7
