ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
100,Right,627.4,694.4,0.07,58.56,3
101,Left,1135.1,1158.4,0.01,58.55,3
102,Right,1485.4,1599.9,0.00,58.50,3
103,Left,887.7,951.2,0.00,58.49,3
104,Left,858.1,952.6,0.00,58.47,3
105,Right,1396.4,1419.3,0.00,58.47,3
106,Left,1385.4,1456.8,0.00,58.35,3
107,Left,680.8,788.2,0.00,58.24,3
108,Right,1441.6,1462.2,0.00,58.23,3
109,Right,1449.9,1521.0,0.00,58.22,3
110,Right,734.8,746.4,0.00,58.16,3
111,Right,548.1,566.4,0.01,58.15,3
112,Left,828.8,937.0,0.01,58.08,3
113,Left,549.6,566.6,0.00,57.98,3
114,Right,1507.7,1600.9,0.03,57.96,3
115,Right,1637.2,1784.7,0.00,57.94,3
116,Right,1373.2,1375.7,0.13,57.85,3
117,Right,913.9,967.6,0.15,57.85,3
118,Left,1189.1,1250.5,0.13,57.83,3
119,Right,1802.5,1835.0,0.00,59.49,4
120,Right,1649.5,1732.6,0.00,59.47,4
121,Left,1639.1,1836.7,0.04,59.35,4
122,Right,1071.4,1092.7,0.00,59.29,4
123,Left,612.5,631.7,0.00,59.29,4
124,Left,1681.7,1732.0,0.14,59.29,4
125,Right,735.9,896.2,0.02,59.26,4
126,Right,752.9,862.4,0.00,59.15,4
127,Right,1122.7,1189.9,0.00,59.13,4
128,Left,1235.2,1361.9,0.00,59.05,4
129,Right,1470.7,1529.3,0.01,59.03,4
130,Left,924.4,984.7,0.07,59.01,4
131,Right,587.3,606.8,0.00,58.99,4
132,Left,1327.4,1404.0,0.01,58.98,4
133,Right,1323.8,1382.8,0.00,58.97,4
134,Left,905.1,934.7,0.00,58.92,4
135,Right,908.0,937.0,0.17,58.86,4
136,Left,1985.7,2009.5,0.00,58.86,4
137,Right,1293.4,1413.5,0.00,58.86,4
138,Right,1435.1,1519.6,0.15,58.83,4
139,Right,1094.8,1121.9,0.00,58.81,4
140,Left,1308.9,1316.8,0.00,58.80,4
141,Left,634.0,708.5,0.00,58.71,4
142,Right,1683.0,1716.2,0.00,58.62,4
143,Right,1592.7,1603.8,0.00,58.61,4
144,Left,784.4,831.5,0.01,58.57,4
145,Right,1597.3,1680.0,0.00,58.56,4
146,Right,828.7,874.1,0.00,58.56,4
147,Left,1316.5,1324.3,0.00,58.55,4
148,Right,1157.7,1249.5,0.04,58.54,4
149,Right,616.6,626.3,0.02,58.50,4
150,Left,1522.4,1568.4,0.00,58.49,4
151,Right,825.6,909.2,0.00,58.48,4
152,Right,1197.3,1268.5,0.00,58.46,4
153,Left,843.0,912.4,0.00,58.40,4
154,Left,2174.8,2267.0,0.06,58.37,4
155,Right,1240.1,1245.4,0.00,58.32,4
156,Right,880.5,971.8,0.00,58.31,4
157,Right,1005.6,1027.2,0.06,58.29,4
158,Right,1516.6,1534.5,0.07,58.29,4
159,Right,632.8,655.7,0.00,58.25,4
160,Left,707.6,714.9,0.00,58.16,4
161,Right,1066.5,1098.3,0.00,58.03,4
162,Right,1422.9,1452.8,0.00,57.93,4
